Gender,Age.Group,Race,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
Men,18-24,NH Black,18,1.2664739939838057e-4,0.5341648673906934,0.0827892579681264,cvd,0.07906043253045558,0.012436962354736868,0.08433565670132659,0.001719003896979992,1.0151831164539438
Women,18-24,NH Black,35,NA,NA,0,cvd,0,1.5728426079851007e-8,2.2933202242278014e-8,1.0787127928141327e-8,0.19240970583488834
Men,25-34,NH Black,24,4.420846500685186e-4,0.6670334971939076,0.1292125248467995,cvd,0.11398784599678984,0.023663838639563672,0.1904678277534514,0.0024905836286921623,1.1596568441917792
Women,25-34,NH Black,90,2.0454943548984835e-5,0.01579336267314646,0.002326630462707554,cvd,0.002355347403286303,0.020836289195786197,0.07718422100038122,0.005384826329108347,0.6983639200359589
Men,35-44,NH Black,26,NA,NA,0,cvd,0,0.11155352270504297,0.2927877342353074,0.03668343314519073,0.6087290125976375
Women,35-44,NH Black,52,0.016608175268163834,0.16915044126015655,0.06645721275539344,cvd,0.030624338534209924,0.04197562100469921,0.08863549708290007,0.019356932051540238,0.40683080183942616
Men,45-54,NH Black,31,9.369131741504706e-4,0.18584873523946877,0.03635741157687021,cvd,0.02617764912047087,0.11044784530975688,0.19752174591256033,0.05893964277351383,0.3491485814795592
Women,45-54,NH Black,45,0.08028686828655272,0.4093942133564723,0.21188323178547933,cvd,0.0665459726748203,0.10934295364893094,0.17690330130784082,0.065530099231155,0.28571938892848275
Men,55-64,NH Black,54,0.04876141946207812,0.34172900731851186,0.15703242981257495,cvd,0.057837199184130564,0.1612106556895946,0.23782175411553041,0.10585134437764841,0.24724366522781357
Women,55-64,NH Black,57,0.057053260938027685,0.25419559070332276,0.13432814392521963,cvd,0.03786543609358445,0.13175692465071978,0.24578552660916728,0.06600081471535021,0.38995385360469587
Men,65 and over,NH Black,42,0.08107553253047062,0.33153679976273387,0.1828039446138424,cvd,0.03766816115477503,0.2570030669210127,0.36058268553038897,0.17503257870895433,0.24937594814552386
Women,65 and over,NH Black,57,0.05962644581089764,0.37240242893050546,0.17883865047883943,cvd,0.05296364935763541,0.24142299945041085,0.3496974294062077,0.15850178896370617,0.2676193443541305
Men,18-24,Hispanic,12,NA,NA,0,cvd,0,0.009770065978198588,0.05874647343256063,0.0015572948793557023,0.9411563512776945
Women,18-24,Hispanic,26,NA,NA,0,cvd,0,1.2322454411008267e-8,2.176627610456678e-8,6.976061562379683e-9,0.29028015734986984
Men,25-34,Hispanic,17,NA,NA,0,cvd,0,0.018634955416534055,0.1426870876597822,0.0021617744260549634,1.1075491381629758
Women,25-34,Hispanic,34,NA,NA,0,cvd,0,0.01639820579021556,0.06538692780677323,0.003957063491119956,0.7317680124307238
Men,35-44,Hispanic,16,1.2603439646618033e-4,0.8224724600625998,0.16351411798418358,cvd,0.10599782449167644,0.08956022863347995,0.20606376763442064,0.035943025570013734,0.49500854988083043
Women,35-44,Hispanic,37,2.423512262069741e-9,0.28457452428731156,0.017549139428508744,cvd,0.01753385269839051,0.03318751777550195,0.0736654240005744,0.014600958338679719,0.4286450123583591
Men,45-54,Hispanic,14,2.4547391921634902e-58,0.9899544885517475,0.03352054607458919,cvd,0.033490766238302605,0.08865078928448607,0.19067240088938273,0.038612725227244855,0.4513216672423279
Women,45-54,Hispanic,30,0.0071791081384884594,0.44849360105353,0.12221772208391699,cvd,0.07235353594958324,0.0877424418023747,0.20604525018420286,0.03441961977827624,0.5064307197974591
Men,55-64,Hispanic,32,0.03333339517282119,0.5325487167804439,0.20504170254513007,cvd,0.07605761214810434,0.13086932720413594,0.23524979220659492,0.06864533587917077,0.3644928214899159
Women,55-64,Hispanic,44,0.004704330411529021,0.17254782648114653,0.04758576560260539,cvd,0.02882920391262489,0.10625682010165308,0.22481830479066828,0.046472211755582755,0.454985178093192
Men,65 and over,Hispanic,31,0.02770164545455208,0.7325809972333468,0.28030693708193943,cvd,0.08600521337862417,0.21321560053676977,0.3462310455545381,0.12178298357832631,0.34184439431385294
Women,65 and over,Hispanic,50,0.05810727823019645,0.3957453734213764,0.18579327663103265,cvd,0.0620016183816607,0.1995769972842557,0.31111372508806806,0.12100335823309781,0.30307829862765123
Men,18-24,NH White,14,NA,NA,0,cvd,0,0.015795523207767295,0.09363053501169527,0.0024871593760067375,0.9500259552164982
Women,18-24,NH White,19,NA,NA,0,cvd,0,2.004400260999032e-8,2.5765286188517543e-8,1.559315263099753e-8,0.1281136335956208
Men,25-34,NH White,24,NA,NA,0,cvd,0,0.02996219776405555,0.19337541787224044,0.003963832652710037,1.0455159673021392
Women,25-34,NH White,50,0.0020637136840755345,0.19170546542013422,0.04335530042253375,cvd,0.029651712200808988,0.02640242025375641,0.09818973947819568,0.006708942933718974,0.7092170900661087
Men,35-44,NH White,30,3.980270412592542e-4,0.7933841080417393,0.17064999021045085,cvd,0.13098320038691952,0.13793958350557745,0.33742965927618435,0.047868317967674344,0.5906944832658347
Women,35-44,NH White,46,7.596712294092542e-4,0.16501543224405557,0.031513565133342455,cvd,0.022669383087257945,0.05288384233607693,0.10300094852025911,0.02643357245035786,0.3678676180235203
Men,45-54,NH White,23,1.3027167045908366e-10,0.998561305291391,0.2233080910087224,cvd,0.07868100958050026,0.13661259137697365,0.2524084760969446,0.06903418549411122,0.38669402089183325
Women,45-54,NH White,35,0.014783916928910217,0.2998732485067773,0.0999255921422814,cvd,0.05670189247770162,0.13528576138597814,0.25680541700641635,0.06615065282580931,0.40427812626895093
Men,55-64,NH White,33,0.031702775759306426,0.4153738663173351,0.1615136601113652,cvd,0.05681611782064551,0.19674127375885486,0.29782611004724957,0.12391108147514572,0.28016639314174324
Women,55-64,NH White,31,0.030673084351915066,0.47347247050970576,0.1797334064537231,cvd,0.07616094451015794,0.16205011816155426,0.28312479636139537,0.08650376848747615,0.3643121219224924
Men,65 and over,NH White,35,0.08828352483482994,0.6139855439996655,0.3049893349794524,cvd,0.09412067465760239,0.3059454884570301,0.41787662335535597,0.21302433177465763,0.24880425419402732
Women,65 and over,NH White,30,0.10768721686996907,0.5979250033943172,0.3155655640104976,cvd,0.07677795257250293,0.28855069116269444,0.3851286234737093,0.20799872538041203,0.22173757265396493
Men,18-24,Other,13,NA,NA,0,cvd,0,0.008109260210669496,0.056499284796017894,0.0011149351418360011,1.015956001115656
Women,18-24,Other,9,NA,NA,0,cvd,0,1.0210644967037052e-8,2.1585289513998823e-8,4.830014902063043e-9,0.381936228739275
Men,25-34,Other,19,NA,NA,0,cvd,0,0.015490788061414242,0.09393335349928689,0.002382384646329066,0.9619413428678998
Women,25-34,Other,27,NA,NA,0,cvd,0,0.01362619206750083,0.05663363446035974,0.0031687905246673433,0.7496004627029208
Men,35-44,Other,22,NA,NA,0,cvd,0,0.0753682978177661,0.15127740638214165,0.03593661258743521,0.39918675189678915
Women,35-44,Other,18,3.653203206111686e-38,0.9999995525157651,0.14500394513484888,cvd,0.1074074363952728,0.027657179522753775,0.08271535039400468,0.008892334699269713,0.5886896177658172
Men,45-54,Other,19,1.7045496869134206e-9,0.25543160800938935,0.015289840372027198,cvd,0.015950498934276133,0.07459116352301819,0.19213487843192756,0.02659104856501322,0.5520591635435954
Women,45-54,Other,18,8.417420852967277e-10,0.5511185458789365,0.03774047849972448,cvd,0.04091586903494996,0.07381520775255275,0.19283889295525622,0.02589801205931217,0.560133149907242
Men,55-64,Other,16,6.757060997391046e-25,0.9999998970390738,0.22425778467333946,cvd,0.12833412672108435,0.11092902133024504,0.26937936851769245,0.04051208587868249,0.5528228362858664
Women,55-64,Other,26,0.0034766735216880474,0.4272474559419418,0.10128757944314443,cvd,0.06773602290555003,0.08967972058705112,0.2111188715948294,0.034995632518223616,0.5098856594788248
Men,65 and over,Other,20,0.008963906476014753,0.6028755060439246,0.17602530896267918,cvd,0.06874773622917899,0.18337559889607702,0.33315877810730077,0.09167498312636993,0.40802279108293155
Women,65 and over,Other,22,0.01080679022204581,0.751642374889949,0.24347798221485106,cvd,0.09306555297745964,0.17123034087588634,0.2922176039635862,0.09370381812744061,0.3532180401841964
Men,18-24,NH Black,18,NA,NA,0,str,0,6.111790440673022e-9,9.845156676914379e-9,3.794148083535276e-9,0.24324929901018766
Women,18-24,NH Black,35,9.078390409893453e-5,0.12458211872871439,0.017681603412415436,str,0.01815368101573309,0.0050069897448194985,0.034326729416500425,7.118719090451088e-4,0.9974671109705259
Men,25-34,NH Black,24,NA,NA,0,str,0,7.364481216509464e-9,1.0977926675326662e-8,4.9404213680630944e-9,0.2036863887454022
Women,25-34,NH Black,90,0.0010514136886239918,0.061699744616278474,0.014734562929864315,str,0.010514157535128112,0.004270800644347251,0.018231798634239637,9.896589198013653e-4,0.7477106947020121
Men,35-44,NH Black,26,1.608027486478096e-5,0.48645019478055485,0.059978631309626815,str,0.057998766848296184,0.019039882251322363,0.09454208093205152,0.003595048930417524,0.858485260369678
Women,35-44,NH Black,52,0.002418558596368373,0.10660545359268891,0.027572991305790974,str,0.019046569849111086,0.03707897327070584,0.0942528751792294,0.014048883122371528,0.5072248951101724
Men,45-54,NH Black,31,0.005958461396668266,0.2986361313794017,0.08001975515500244,str,0.04583303316005687,0.07653345741576606,0.16973409487614402,0.03250550757158874,0.460668475399346
Women,45-54,NH Black,45,0.03465213724724643,0.28872693425885854,0.12406510613390165,str,0.04965371620163215,0.1537487941838025,0.2685002050352036,0.08250811313082576,0.35880808429748623
Men,55-64,NH Black,54,0.019335534806991454,0.13285706171169964,0.05905352509020387,str,0.02181937308036953,0.08842136866698211,0.17947891873772506,0.04123943035338704,0.41489657387732426
Women,55-64,NH Black,57,0.14580528207656782,0.36104433597127084,0.24162269025354946,str,0.042604883894812685,0.19130847813118132,0.34705171056027706,0.09526009270879422,0.4130209547282129
Men,65 and over,NH Black,42,0.04686962838549481,0.49468141750492733,0.2096232755896909,str,0.06736327201179458,0.17363283180364308,0.27354932555195405,0.10493981839089209,0.2976624337530519
Women,65 and over,NH Black,57,0.047946077548084165,0.3234074747831237,0.14988055557545327,str,0.04619780361149098,0.20206480338321542,0.29189531040989,0.1346236808283591,0.24859752451644873
Men,18-24,Hispanic,12,NA,NA,0,str,0,2.1998608777331294e-9,4.7499154711790884e-9,1.0188366306978107e-9,0.3927279837782228
Women,18-24,Hispanic,26,NA,NA,0,str,0,0.001807996220610267,0.01459481838327871,2.2145567935246763e-4,1.0721320102419147
Men,25-34,Hispanic,17,NA,NA,0,str,0,2.6507509187774905e-9,5.741105760159316e-9,1.2238897374913048e-9,0.39429748539940673
Women,25-34,Hispanic,34,NA,NA,0,str,0,0.0015414337504564455,0.007493837716999662,3.155596701685268e-4,0.8098860500049849
Men,35-44,Hispanic,16,NA,NA,0,str,0,0.006937710245507029,0.03411841668499185,0.001379795420745179,0.8268609497650551
Women,35-44,Hispanic,37,1.2751052159203793e-8,0.5029466396996962,0.038158147988028246,str,0.036628496011540224,0.013670543861523174,0.05675446294605333,0.0031824967922728696,0.7490722674063185
Men,45-54,Hispanic,14,1.1347252267761092e-28,0.9996915804323515,0.11161197962513475,str,0.07437880289077538,0.028966183784358415,0.07703487930515941,0.0105488735087789,0.5249581529762084
Women,45-54,Hispanic,30,9.436921552129686e-4,0.2200037411218625,0.04243375687141952,str,0.031202374775849105,0.06138027823578855,0.15059465091887822,0.02355227156104365,0.5088752250769611
Men,55-64,Hispanic,32,4.846998262679984e-6,0.16659934897483375,0.016875539324662875,str,0.016485528762405995,0.03373540463253242,0.09503919761122241,0.011473476937933182,0.5618917631356133
Women,55-64,Hispanic,44,0.004457925743732391,0.1820778345684917,0.04908757381598991,str,0.030417046434457994,0.07846732129624193,0.18160890598453705,0.0316386096827354,0.4887187580962037
Men,65 and over,Hispanic,31,1.5415803708938427e-4,0.6576098756804851,0.11252501932384643,str,0.06907686376426792,0.070310995713879,0.16050209908361687,0.029047449964041152,0.47318470157385895
Women,65 and over,Hispanic,50,0.005102567974833315,0.17367633702458019,0.04879391125521172,str,0.027578695189693796,0.08353450944582264,0.1448777991639895,0.04674498873339371,0.316286841861926
Men,18-24,NH White,14,NA,NA,0,str,0,6.160882631221966e-9,8.992945610757124e-9,4.220694353631756e-9,0.19297313787693968
Women,18-24,NH White,19,NA,NA,0,str,0,0.005047004781995422,0.03679372128247392,6.73155578901618e-4,1.0301006428125032
Men,25-34,NH White,24,NA,NA,0,str,0,7.423635488604999e-9,1.1240335273645564e-8,4.902911030195636e-9,0.21165683885197595
Women,25-34,NH White,50,NA,NA,0,str,0,0.004304957635197173,0.018097512309202455,0.0010131979553035001,0.7397871728279183
Men,35-44,NH White,30,4.130135422225243e-6,0.18726604458720053,0.018681564583050845,str,0.01857952211306372,0.019189882905905425,0.07467840008895142,0.004720819440731687,0.7229955374188829
Women,35-44,NH White,46,0.0024830989438263474,0.13622867574229747,0.033809667484234134,str,0.019607057464159965,0.037365676775207975,0.09388485397371293,0.014333129818017556,0.5009396876484452
